Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
"Live at the Harlem Square Club, 1963",Sam Cooke,1985,,,240,240
Down Every Road: 1962-1994,Merle Haggard,1996,,,284,284
Portrait of a Legend,Sam Cooke,2003,,,307,307
Nuggets: Original Artyfacts from the First Psychedelic Era,Various Artists,1972,,,405,405
The Anthology,Muddy Waters,2001,,,483,483
Back to Mono (1958-1969),Phil Spector,1991,,,489,489
