Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
12 Songs,Randy Newman,1970,354,356,,355
Between The Buttons,The Rolling Stones,1967,355,357,,356
Sketches Of Spain,Miles Davis,1960,356,358,,357
Substance,New Order,1987,361,363,,362
L.A. Woman,The Doors,1971,362,364,,363
American Recordings,Johnny Cash,1994,364,366,,365
Louder Than Bombs,The Smiths,1987,365,369,,367
Mott,Mott The Hoople,1973,366,370,,368
Reggatta De Blanc,The Police,1979,369,372,,370
Volunteers,Jefferson Airplane,1969,370,373,,371
Siren,Roxy Music,1975,371,374,,372
Late For The Sky,Jackson Browne,1974,372,375,,373
The Ultimate Collection (1948 - 1990),John Lee Hooker,1991,375,377,,376
The Smile Sessions,The Beach Boys,2011,,381,,381
A Quick One (Happy Jack),The Who,1966,383,384,,383
Pretzel Logic,Steely Dan,1974,385,386,,385
The End Of The Innocence,Don Henley,1989,389,389,,389
The Pretender,Jackson Browne,1976,391,391,,391
Kala,M.I.A,2007,,393,,393
Good Old Boys,Randy Newman,1974,393,394,,393
Eliminator,ZZ Top,1983,396,398,,397
Dr. John's Gumbo,Dr. John,1972,402,404,,403
Strange Days,The Doors,1967,407,409,,408
Time Out Of Mind,Bob Dylan,1997,408,410,,409
461 Ocean Boulevard,Eric Clapton,1974,409,411,,410
Mule Variations,Tom Waits,1999,416,416,,416
Band On The Run,Wings,1973,418,418,,418
The Chirping Crickets,Buddy Holly,1957,421,420,,420
"The Best Of The Girl Groups, Volumes 1 And 2",Various Artists,1990,422,421,,421
The Rising,Bruce Springsteen,2002,,424,,424
Grievous Angel,Gram Parsons,1974,429,425,,427
Boy,U2,1980,417,438,,427
At Budokan,Cheap Trick,1978,430,426,,428
Sleepless,Peter Wolf,2002,432,427,,429
Vampire Weekend,Vampire Weekend,2008,,430,,430
Outlandos D'Amour,The Police,1978,434,428,,431
Sea Change,Beck,2002,440,436,,438
Boys Don't Cry,The Cure,1980,442,438,,440
Rum Sodomy And The Lash,The Pogues,1985,445,440,,442
In Color,Cheap Trick,1977,448,443,,445
The World Is A Ghetto,War,1972,449,444,,446
Fly Like An Eagle,Steve Miller Band,1976,450,445,,447
Back In The USA,MC5,1970,451,446,,448
Getz/Gilberto,Stan Getz And Joao Gilberto Featuring Antonio Carlos Jobim,1964,454,447,,450
For Everyman,Jackson Browne,1973,457,450,,453
Strictly Business,EPMD,1988,459,453,,456
Love It To Death,Alice Cooper,1971,460,454,,457
Z,My Morning Jacket,2005,,457,,457
Tumbleweed Connection,Elton John,1970,463,458,,460
Golden Hits,The Drifters,1968,465,459,,462
Metal Box,Public Image Ltd,1979,469,461,,465
Document,R.E.M,1987,470,462,,466
Heaven Up Here,Echo & The Bunnymen,1981,471,463,,467
Hysteria,Def Leppard,1987,472,464,,468
Tunnel Of Love,Bruce Springsteen,1987,475,467,,471
Radio,LL Cool J,1985,478,470,,474
Proxima Estacion Esperanza,Manu Chao,2001,,474,,474
The Smiths,The Smiths,1984,481,473,,477
Armed Forces,Elvis Costello And The Attractions,1979,482,475,,478
All Time Greatest Hits,Loretta Lynn,2002,485,478,,481
Guitar Town,Steve Earle,1986,489,482,,485
All The Young Dudes,Mott The Hoople,1972,491,484,,487
Vitalogy,Pearl Jam,1994,492,485,,488
Destroyer,Kiss,1976,496,489,,492
Tres Hombres,ZZ Top,1973,498,490,,494
Oracular Spectacular,Mgmt,2007,,494,,494
Born Under A Bad Sign,Albert King,1967,499,491,,495
Give It Up,Bonnie Raitt,1972,,495,,495
Touch,Eurythmics,1983,500,492,,496
Boz Scaggs,Boz Scaggs,1969,,496,,496
White Blood Cells,The White Stripes,2001,,497,,497
Live In Cook County Jail,B.B. King,1971,,499,,499
