Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
The Complete Recordings,Robert Johnson,1990,,22,,22
Please Please Me,The Beatles,1963,39,39,,39
Trout Mask Replica,Captain Beefheart and his Magic Band,1969,58,60,,59
"Chronicle, Vol. 1",Creedence Clearwater Revival,1976,,59,,59
Fresh Cream,Cream,1966,101,102,,101
Out Of Our Heads,The Rolling Stones,1965,114,116,,115
If You Can Believe Your Eyes And Ears,The Mamas & The Papas,1966,127,112,,119
Moby Grape,Moby Grape,1967,121,124,,122
Younger Than Yesterday,The Byrds,1967,124,127,,125
Raw Power,The Stooges,1973,125,128,,126
Greatest Hits,Elton John,1974,135,136,,135
Tim,The Replacements,1985,136,137,,136
Rejuvenation,The Meters,1974,138,139,,138
A Christmas Gift For You,Phil Spector,1963,142,142,,142
Santana,Santana,1969,150,149,,149
Captain Fantastic And The Brown Dirt Cowboy,Elton John,1975,158,158,,158
The Dock Of The Bay,Otis Redding,1968,161,161,,161
Imperial Bedroom,Elvis Costello,1982,166,166,,166
The Notorious Byrd Brothers,The Byrds,1968,171,171,,171
Desire,Bob Dylan,1976,174,174,,174
Close To You,Carpenters,1970,175,175,,175
The Anthology 1961 - 1977,Curtis Mayfield And The Impressions,1992,179,178,,178
The Rolling Stones Now!,The Rolling Stones,1965,181,180,,180
Natty Dread,Bob Marley & The Wailers,1974,182,181,,181
Fleetwood Mac,Fleetwood Mac,1975,183,182,,182
Fresh,Sly & The Family Stone,1973,186,186,,186
Buffalo Springfield Again,Buffalo Springfield,1967,188,188,,188
Happy Trails,Quicksilver Messenger Service,1969,189,189,,189
Blues Breakers With Eric Clapton,John Mayall,1966,195,195,,195
The Best Of,Little Walter,1964,198,198,,198
Highway To Hell,AC/DC,1979,199,200,,199
"Parsley, Sage, Rosemary And Thyme",Simon And Garfunkel,1966,201,202,,201
Wheels Of Fire,Cream,1968,203,205,,204
Modern Times,Bob Dylan,2006,,204,,204
All That You Can't Leave Behind,U2,2000,139,280,,209
Tattoo You,The Rolling Stones,1981,211,213,,212
Two Steps From The Blues,Bobby Bland,1961,215,217,,216
Look-Ka Py Py,The Meters,1969,218,220,,219
New Orleans Piano,Professor Longhair,1972,220,222,,221
War,U2,1983,221,223,,222
The Neil Diamond Collection,Neil Diamond,1999,222,224,,223
Toys In The Attic,Aerosmith,1975,228,229,,228
Howlin' Wolf,Howlin' Wolf,1962,223,238,,230
The Kink Kronikles,The Kinks,1972,231,232,,231
Bookends,Simon And Garfunkel,1968,233,234,,233
Mr. Excitement!,Jackie Wilson,1992,235,236,,235
The Who Sings My Generation,The Who,1965,236,237,,236
The Very Best Of Linda Ronstadt,Linda Ronstadt,2002,324,164,,244
Freak Out!,The Mothers Of Invention,1966,243,246,,244
Live Dead,Grateful Dead,1969,244,247,,245
The River,Bruce Springsteen,1980,250,253,,251
Stardust,Willie Nelson,1978,257,260,,258
The Genius Of Ray Charles,Ray Charles,1959,263,265,,264
Child Is Father To The Man,"Blood, Sweat & Tears",1968,264,266,,265
Quadrophenia,The Who,1973,266,267,,266
Psycho Candy,The Jesus And Mary Chain,1985,268,269,,268
Nightbirds,Labelle,1974,272,274,,273
Anthology Of American Folk Music,Various Artists,1952,276,278,,277
Aladdin Sane,David Bowie,1973,277,279,,278
Folk Singer,Muddy Waters,1964,280,282,,281
Can't Get Enough,Barry White,1974,281,283,,282
Anthem Of The Sun,Grateful Dead,1968,287,288,,287
Talking Heads: 77,Talking Heads,1977,290,291,,290
Songs Of Love And Hate,Leonard Cohen,1971,,295,,295
Meat Is Murder,The Smiths,1985,295,296,,295
We're Only In It For The Money,The Mothers Of Invention,1968,296,297,,296
Songs For Swingin' Lovers,Frank Sinatra,1956,306,308,,307
The Sun Records Collection,Various Artists,1994,308,311,,309
Nothing's Shocking,Jane's Addiction,1988,309,312,,310
Back Stabbers,The O'Jays,1972,318,318,,318
Burnin',The Wailers,1973,319,319,,319
Amnesiac,Radiohead,2001,,320,,320
Ghost In The Machine,The Police,1981,322,323,,322
Slowhand,Eric Clapton,1977,325,325,,325
In The Jungle Groove,James Brown,1986,330,329,,329
Shoot Out The Lights,Richard & Linda Thompson,1982,333,332,,332
Wild Gift,X,1981,334,333,,333
Squeezing Out Sparks,Graham Parker,1979,335,334,,334
Superunknown,Soundgarden,1994,336,335,,335
Aqualung,Jethro Tull,1971,337,337,,337
The Heart Of Saturday Night,Tom Waits,1974,339,339,,339
Play,Moby,1999,341,341,,341
Bat Out Of Hell,Meat Loaf,1977,343,343,,343
Berlin,Lou Reed,1973,344,344,,344
Stop Making Sense,Talking Heads,1984,345,345,,345
At Newport 1960,Muddy Waters,1960,348,348,,348
Roger The Engineer,The Yardbirds,1966,349,350,,349
52nd Street,Billy Joel,1978,352,354,,353
Having A Rave Up With The Yardbirds,The Yardbirds,1965,353,355,,354
